id,gender,custom,comm,safety,team,diverse,ldr_eff,jobsat,commit,turnover
1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1.3,1.5,1,0
72,1,2.222222222,1,5,2.666666667,5,2.333333333,2.25,1,0
103,1,1.444444444,1,5,2.333333333,4,3.2,2,1.666666667,0
153,1,1.666666667,1.5,3,2,1,1.9,1.75,1,0
207,1,3.777777778,1.5,4,3.333333333,5,2.1,2.333333333,1,1
210,0,2.125,1,2.5,2.666666667,1,1.6,2,1.333333333,1
238,1,2.333333333,2,1,3,3,3.7,1.5,1,1
242,1,2.222222222,1.5,1,2.333333333,2,3,3.25,1,1
261,1,1.888888889,1,3,2,2,2.2,2.333333333,1,0
285,1,2.666666667,2,3.5,2,2,1.9,1,1,1
295,1,2.555555556,1.5,1,3.333333333,3,3.7,1.75,1.333333333,1
299,1,2.555555556,1,3.5,3,2,3.9,4,1,0
316,1,1.666666667,1,4,2,2,3.6,2.25,1.666666667,0
337,1,3.125,1,5,3.333333333,4,1.3,3.25,1,0
359,1,2.777777778,1.5,2.5,2.333333333,3,1.8,2.25,1,1
416,1,2.444444444,1,5,4,4,1.9,1.75,1.666666667,0
435,1,2.666666667,1,4.5,3,1,1.2,4,1.333333333,0
443,1,1.888888889,1.5,2,3,2,2.3,2,1,1
448,1,1.777777778,1,2,2.333333333,2,3,3.25,1.333333333,1
495,0,2.5,2,3.5,3.333333333,4,2,2.333333333,1,0
502,1,2.888888889,1,1,3,1,2.1,2.25,2,1
511,0,3.222222222,1.5,5,3.666666667,4,3.4,2.75,4.666666667,0
548,1,2.777777778,1,4,3,5,1.3,1,1,0
549,1,2.444444444,1,5,4.333333333,1,5,3.5,4.333333333,0
594,1,3.888888889,2,3.5,3.666666667,3,3.2,2.75,3.666666667,0
595,1,4.25,2,4.5,3,4,2.4,3,4,0
617,1,2.222222222,1.5,3.5,4,1,1,1.75,4.666666667,0
706,1,3.222222222,1.5,4,4,2,3.8,3.75,4,0
710,1,3.222222222,2,4,3.666666667,4,3.8,2.75,3.666666667,0
712,1,2.888888889,1.5,4,4.333333333,5,2.4,1.5,2,0
754,0,2.777777778,2.5,5,4,4,2.7,2,4,0
767,1,2.888888889,2,5,4.333333333,5,4,2.75,4,0
804,0,2.888888889,1.5,3,3.333333333,3,2.9,2.5,3,0
817,1,3.444444444,2.5,5,4.666666667,5,4.2,3.25,4.333333333,0
834,1,2.888888889,1.5,4.5,3.333333333,4,2.7,3.25,4.333333333,0
835,1,2.777777778,1,5,3.333333333,1,3,2.75,3,1
881,1,4,2,4,4,4,2.2,1.25,3,0
935,0,2.888888889,1.5,4,4.333333333,4,3.4,2,4.666666667,0
940,1,2.666666667,2,4,4.666666667,4,2.2,1.25,4,0
961,1,5,2.5,4,4.333333333,4,3.3,3.5,3.666666667,0
964,1,3.444444444,1.5,4,4.666666667,3,2.4,2.25,3.666666667,0
985,0,2.111111111,1.5,3.5,2.666666667,3,3.7,2.5,3,0
1002,1,2.777777778,2,3.5,2,3,3.7,2.5,3.666666667,0
1013,1,2.888888889,2,4.5,2,5,2.8,3,2.333333333,0
1018,1,2.444444444,1.5,3,3,2,1.9,2,3.333333333,0
1029,1,3.111111111,2.5,5,5,4,4.9,3,2.666666667,0
1047,1,3,1.5,5,2.666666667,5,4.2,4,4,0
1067,0,1.777777778,1.5,3,2.333333333,1,1.3,1.5,1,0
1081,1,1.666666667,1.5,3,1.666666667,3,1.2,1.75,2,0
1100,1,1.666666667,2.5,1,2,3,2.1,2.25,2,0
1105,0,2.111111111,1.5,4.5,3.333333333,4,3.4,2.75,3.666666667,0
1115,1,2.111111111,2,4,3,3,2.6,2,2.666666667,0
1140,0,2.333333333,2,4.5,2.333333333,5,1.9,2.5,3.333333333,0
1150,1,2.444444444,2.5,1.5,3.333333333,2,2.5,1.75,2.666666667,0
1161,1,2.666666667,2.5,3,2.666666667,2,2.3,2.25,3,0
1182,1,2.777777778,2,3.5,2,2,3.2,1.75,3.666666667,0
1239,1,2.111111111,2,4,3,2,3.3,1.75,3,0
1261,1,3.111111111,2.5,4,3,4,2.6,2.5,3,1
1274,1,2.333333333,2,3.5,3.333333333,1,3.1,3,3,0
1275,1,2.555555556,2,5,3.666666667,3,3.1,2,3.666666667,0
1291,1,2.666666667,2,1.5,2.666666667,3,2.9,2,3,0
1302,1,3.111111111,2.5,4.5,3,4,3.6,3.25,3.666666667,0
1333,1,4.222222222,3,3.5,3.666666667,5,2.9,2.75,5,0
1338,1,3.333333333,2.5,3.5,3.333333333,4,3.5,2.75,4.666666667,0
1340,1,2.333333333,2,4,2.666666667,4,2.4,2.25,3.666666667,0
1402,1,2.777777778,2,4,2.666666667,4,1.6,2,3,0
1426,1,3.222222222,2.5,2.5,3.666666667,2,3.4,2,3.666666667,0
1479,1,3,2,5,3.666666667,3,3.2,3,2.666666667,0
1482,1,1.777777778,2.5,3,3,2,3.3,3,3.666666667,0
1488,0,1.555555556,1.5,3,3.333333333,2,1.5,1,2.333333333,0
1492,1,2,2,4,3.333333333,1,1.9,1.75,2,0
1497,1,2.333333333,2,4,3.333333333,4,4.3,3,3.333333333,0
1503,0,2.666666667,4,5,3,3,2.4,3,3.666666667,0
1510,1,2.222222222,2,5,3.333333333,2,2.8,2.5,4.333333333,0
1538,1,2.777777778,3,4,3.333333333,3,3,2.25,4,0
1547,1,2.888888889,4,4,3.333333333,4,3.3,3.25,4.666666667,0
1564,1,3.111111111,3,1.5,2.666666667,1,2.4,3.5,4,0
1593,0,2.555555556,3,4.5,3.666666667,4,3.8,2.75,3.666666667,0
1608,1,2,4,3.5,3.666666667,4,2,2,3,0
1622,1,2.777777778,2,4,3,5,3.1,3,3,1
1626,1,2.888888889,4,3,3.666666667,2,3.1,2,3.333333333,0
1661,1,2.555555556,4,4.5,3.666666667,4,3.5,2.5,3.333333333,0
1664,1,2.777777778,3,3,3,3,1.8,1.25,3,1
1666,1,3.222222222,2.5,4,3.666666667,5,3.8,3,3.666666667,0
1682,1,2.666666667,2.5,5,3.666666667,4,3.4,2.75,4,0
1699,1,3,2.5,4.5,4,4,3.6,3.25,3,0
1711,1,3.555555556,3,4.5,3.666666667,4,2.9,2.25,2.333333333,1
1739,0,3.222222222,2.5,3.5,3,3,2.8,2.75,3,0
1744,1,3.111111111,2,4,3.333333333,2,3,2.5,3.333333333,0
1752,1,3.222222222,2.5,4,3.333333333,4,3.1,2,3.666666667,0
1775,1,3,1.5,4,3.666666667,2,3.8,3.25,4,0
1787,0,2.888888889,3,4,3,3,2.9,2.25,3,0
1788,1,3.333333333,2,3.5,3.666666667,1,3.6,2.75,3,1
1791,1,3.444444444,2.5,4,3.666666667,2,3.7,3,4,0
1802,1,3.555555556,2.5,4.5,3.666666667,3,3.4,2.75,4,0
1811,1,3.333333333,2.5,5,3.333333333,4,5,4.5,3.666666667,0
1829,0,3.666666667,3,4,3.666666667,4,3.2,5,5,0
1843,1,3.666666667,1.5,5,3.333333333,4,3.7,2.75,5,0
1865,1,4.333333333,2.5,5,3.333333333,5,3.5,2.75,3.666666667,0
