"file","colorspace","width_px","height_px","print_width_in","effective_dpi","flag","out_width","source"
"images/1969_draft_lottery_photo.jpg","Gray",1024,690,4.38356164383562,233.6,"LOW-DPI","80%","./03-getting_started.qmd"
"images/1D-4D.png","sRGB",482,305,4.93150684931507,97.7,"LOW-DPI","90%","./01-Prelude.qmd"
"images/ANCOVA-ex.png","sRGB",1034,493,4.93150684931507,209.7,"LOW-DPI","90%","./11-mlm-review.qmd"
"images/Cover-GBE.png","sRGB",456,489,3.28767123287671,138.7,"LOW-DPI","60%","./02-intro.qmd"
"images/Duncan-beta-diff.png","sRGB",598,536,3.83561643835616,155.9,"LOW-DPI","70%","./07-linear_models-plots.qmd"
"images/HE-framework.png","sRGB",971,700,5.47945205479452,177.2,"LOW-DPI","100%","./12-mlm-viz.qmd"
"images/MF-gray.jpg","sRGB",172,225,1.64383561643836,104.6,"LOW-DPI","30%","./00-Author.qmd"
"images/MV-juicer.png","sRGB",836,427,4.38356164383562,190.7,"LOW-DPI","80%","./05-pca-biplot.qmd"
"images/MonaLisa-BW.jpg","Gray",640,954,1.91780821917808,333.7,"ok","35%","./05-pca-biplot.qmd"
"images/Pearson1901.png","sRGB",524,427,3.28767123287671,159.4,"LOW-DPI","60%","./05-pca-biplot.qmd"
"images/Pearson1901_2.png","sRGB",632,539,4.38356164383562,144.2,"LOW-DPI","80%","./05-pca-biplot.qmd"
"images/ReavenMiller-3d-annotated.png","sRGB",833,667,3.83561643835616,217.2,"LOW-DPI","70%","./01-Prelude.qmd"
"images/SVD.png","sRGB",3494,2123,4.10958904109589,850.2,"ok","75%","./05-pca-biplot.qmd"
"images/T2-diagram.png","sRGB",451,410,3.83561643835616,117.6,"LOW-DPI","70%","./10-hotelling.qmd"
"images/VisualizingSSP.png","sRGB",830,311,5.47945205479452,151.5,"LOW-DPI","100%","./11-mlm-review.qmd"
"images/anscombe1.png","sRGB",650,480,4.93150684931507,131.8,"LOW-DPI","90%","./03-getting_started.qmd"
"images/arcmanov.png","sRGB",1503,1603,5.47945205479452,274.3,"LOW-DPI","100%","./12-mlm-viz.qmd"
"images/big5-qgraph-rodrigues.png","sRGB",910,627,4.93150684931507,184.5,"LOW-DPI","90%","./04-multivariate_plots.qmd"
"images/cancor-diagram-udi.png","sRGB",2665,1143,4.93150684931507,540.4,"ok","90%","./12-mlm-viz.qmd"
"images/coffee-data-beta-both.png","sRGB",917,439,4.93150684931507,185.9,"LOW-DPI","90%","./08-lin-mod-topics.qmd"
"images/coffee-measerr-data-beta.png","sRGB",2400,1200,4.93150684931507,486.7,"ok","90%","./08-lin-mod-topics.qmd"
"images/coffee-measerr.png","sRGB",1400,1400,2.73972602739726,511,"ok","50%","./08-lin-mod-topics.qmd"
"images/collin-demo.png","sRGB",1190,422,5.47945205479452,217.2,"LOW-DPI","100%","./09-collinearity-ridge.qmd"
"images/collinearity-diagnostics-SPSS.png","sRGB",927,257,5.47945205479452,169.2,"LOW-DPI","100%","./09-collinearity-ridge.qmd"
