"term","page","formatted"
"effect ordering","xii",NA
"visual thinning","xiii",NA
"matlib","xiii","\texttt{matlib} package"
"packages!matlib","xiii","packages!\texttt{matlib}"
"car","xiv","\texttt{car} package"
"packages!car","xiv","packages!\texttt{car}"
"ggplot2","xv","\texttt{ggplot2} package"
"packages!ggplot2","xv","packages!\texttt{ggplot2}"
"ggplot2","xv","\texttt{ggplot2} package"
"packages!ggplot2","xv","packages!\texttt{ggplot2}"
"ggplot2","xv","\texttt{ggplot2} package"
"packages!ggplot2","xv","packages!\texttt{ggplot2}"
"car","xvi","\texttt{car} package"
"packages!car","xvi","packages!\texttt{car}"
"heplots","xvi","\texttt{heplots} package"
"packages!heplots","xvi","packages!\texttt{heplots}"
"tinyplot","xvi","\texttt{tinyplot} package"
"packages!tinyplot","xvi","packages!\texttt{tinyplot}"
"ggplot2","xvi","\texttt{ggplot2} package"
"packages!ggplot2","xvi","packages!\texttt{ggplot2}"
"80-20 graphics rule","xvi",NA
"ggplot2","xvii","\texttt{ggplot2} package"
"packages!ggplot2","xvii","packages!\texttt{ggplot2}"
"ggplot2","xvii","\texttt{ggplot2} package"
"packages!ggplot2","xvii","packages!\texttt{ggplot2}"
"car","xvii","\texttt{car} package"
"packages!car","xvii","packages!\texttt{car}"
"matlib","xvii","\texttt{matlib} package"
"packages!matlib","xvii","packages!\texttt{matlib}"
"ggplot2","xvii","\texttt{ggplot2} package"
"packages!ggplot2","xvii","packages!\texttt{ggplot2}"
"Prestige","xvii","\texttt{Prestige} data"
"datasets!Prestige","xvii","datasets!\texttt{Prestige}"
"carData","xvii","\texttt{carData} package"
"packages!carData","xvii","packages!\texttt{carData}"
"Prestige","xvii","\texttt{Prestige} data"
"datasets!Prestige","xvii","datasets!\texttt{Prestige}"
"carData","xvii","\texttt{carData} package"
"packages!carData","xvii","packages!\texttt{carData}"
"car","xvii","\texttt{car} package"
"packages!car","xvii","packages!\texttt{car}"
"ggeda","xviii","\texttt{ggeda} package"
"packages!ggeda","xviii","packages!\texttt{ggeda}"
"tinytable","xviii","\texttt{tinytable} package"
"packages!tinytable","xviii","packages!\texttt{tinytable}"
"marginaleffects","xviii","\texttt{marginaleffects} package"
"packages!marginaleffects","xviii","packages!\texttt{marginaleffects}"
"tourr","xviii","\texttt{tourr} package"
"packages!tourr","xviii","packages!\texttt{tourr}"
"car","xviii","\texttt{car} package"
"packages!car","xviii","packages!\texttt{car}"
"effects","xviii","\texttt{effects} package"
"packages!effects","xviii","packages!\texttt{effects}"
"easystats","xviii","\texttt{easystats} package"
"packages!easystats","xviii","packages!\texttt{easystats}"
"ggeffects","xviii","\texttt{ggeffects} package"
"packages!ggeffects","xviii","packages!\texttt{ggeffects}"
"rgl","xviii","\texttt{rgl} package"
"packages!rgl","xviii","packages!\texttt{rgl}"
"knitr","xviii","\texttt{knitr} package"
"packages!knitr","xviii","packages!\texttt{knitr}"
"xfun","xviii","\texttt{xfun} package"
"packages!xfun","xviii","packages!\texttt{xfun}"
"tinytex","xviii","\texttt{tinytex} package"
"packages!tinytex","xviii","packages!\texttt{tinytex}"
"Flatland","6","\emph{Flatland}"
"Flatland","8","\emph{Flatland}"
"Pollen","9","\texttt{Pollen} data"
"datasets!Pollen","9","datasets!\texttt{Pollen}"
"HistData","9","\texttt{HistData} package"
"packages!HistData","9","packages!\texttt{HistData}"
"animation","9","\texttt{animation} package"
"packages!animation","9","packages!\texttt{animation}"
"rgl","9","\texttt{rgl} package"
"packages!rgl","9","packages!\texttt{rgl}"
"animation","9","\texttt{animation} package"
"packages!animation","9","packages!\texttt{animation}"
"scagnostics","9","\texttt{scagnostics} package"
"packages!scagnostics","9","packages!\texttt{scagnostics}"
"cassowaryr","9","\texttt{cassowaryr} package"
"packages!cassowaryr","9","packages!\texttt{cassowaryr}"
"PRIM-9","10",NA
"Structural equation model","15",NA
"lm()","17","\texttt{lm()}"
"data ellipse","18",NA
"HE plot","18",NA
"principal components analysis","18",NA
"canonical correlation","18",NA
"projection","18",NA
"tinytable","21","\texttt{tinytable} package"
"packages!tinytable","21","packages!\texttt{tinytable}"
"gt","21","\texttt{gt} package"
"packages!gt","21","packages!\texttt{gt}"
"pie chart","21",NA
"bar chart","21",NA
"line graph","21",NA
"scatterplot","21",NA
"visual thinking","21",NA
"Anscombe's quartet","22",NA
"quartet!Anscombe","22",NA
"anscombe","22","\texttt{anscombe} data"
"datasets!anscombe","22","datasets!\texttt{anscombe}"
"datasets","22","\texttt{datasets} package"
"packages!datasets","22","packages!\texttt{datasets}"
"ggplot()","23","\texttt{ggplot()}"
"stat_ellipse()","23","\texttt{stat\_ellipse()}"
"data ellipse","23",NA
"pure error","24",NA
"lack of fit","24",NA
"outliers","24",NA
"influence","24",NA
"datasaurus dozen","25",NA
"datasauRus","25","\texttt{datasauRus} package"
"packages!datasauRus","25","packages!\texttt{datasauRus}"
"datasauRus","25","\texttt{datasauRus} package"
"packages!datasauRus","25","packages!\texttt{datasauRus}"
"metamer","25","\texttt{metamer} package"
"packages!metamer","25","packages!\texttt{metamer}"
"causal analysis","25",NA
"quartets","26","\texttt{quartets} package"
"packages!quartets","26","packages!\texttt{quartets}"
"quartet!causal","26",NA
"quartet!Rashamon","26",NA
"Davis","26","\texttt{Davis} data"
"datasets!Davis","26","datasets!\texttt{Davis}"
"carData","26","\texttt{carData} package"
"packages!carData","26","packages!\texttt{carData}"
"influence","27",NA
"ggplot2","27","\texttt{ggplot2} package"
"packages!ggplot2","27","packages!\texttt{ggplot2}"
"influence","28",NA
"1970 draft lottery","28",NA
"Draft1970","29","\texttt{Draft1970} data"
"datasets!Draft1970","29","datasets!\texttt{Draft1970}"
"vcdExtra","29","\texttt{vcdExtra} package"
"packages!vcdExtra","29","packages!\texttt{vcdExtra}"
"1970 draft lottery","31",NA
"loess","31",NA
"smoother!loess","31",NA
"ggbreak","32","\texttt  {ggbreak} package"
"packages!ggbreak","32","packages!\texttt  {ggbreak}"
"sample()","34","\texttt{sample()}"
"data plots","35",NA
"reconnaissance plots","35",NA
"multivariate juicer","35",NA
"dimension reduction","35",NA
"canonical space","35",NA
"uncertainty","35",NA
"model plots","35",NA
"added-variable plots","35",NA
"effect plots","35",NA
"diagnostic plots","35",NA
"lm()","35","\texttt{lm()}"
"Tukey, John","41",NA
"quartet!Anscombe","41",NA
"scatterplot matrix","42",NA
"smoother","42",NA
"data ellipse","42",NA
"stratifier","42",NA
"uncertainty","42",NA
"Salaries","43","\texttt{Salaries} data"
"datasets!Salaries","43","datasets!\texttt{Salaries}"
"carData","43","\texttt{carData} package"
"packages!carData","43","packages!\texttt{carData}"
"smoother","44",NA
"ggplot2","44","\texttt{ggplot2} package"
"packages!ggplot2","44","packages!\texttt{ggplot2}"
"uncertainty","45",NA
"precision","45",NA
"smoother!non-parametric","45",NA
"loess","45",NA
"lowess","45",NA
"geom_smooth()","45","\texttt  {geom\_smooth()}"
