term,page,page_num,chapter,ch_title,formatted
effect ordering,xii,-12,0,Front Matter,NA
visual thinning,xiii,-13,0,Front Matter,NA
matlib,xiii,-13,0,Front Matter,\texttt{matlib} package
packages!matlib,xiii,-13,0,Front Matter,packages!\texttt{matlib}
car,xiv,-14,0,Front Matter,\texttt{car} package
packages!car,xiv,-14,0,Front Matter,packages!\texttt{car}
ggplot2,xv,-15,0,Front Matter,\texttt{ggplot2} package
packages!ggplot2,xv,-15,0,Front Matter,packages!\texttt{ggplot2}
ggplot2,xv,-15,0,Front Matter,\texttt{ggplot2} package
packages!ggplot2,xv,-15,0,Front Matter,packages!\texttt{ggplot2}
ggplot2,xv,-15,0,Front Matter,\texttt{ggplot2} package
packages!ggplot2,xv,-15,0,Front Matter,packages!\texttt{ggplot2}
car,xvi,-16,0,Front Matter,\texttt{car} package
packages!car,xvi,-16,0,Front Matter,packages!\texttt{car}
heplots,xvi,-16,0,Front Matter,\texttt{heplots} package
packages!heplots,xvi,-16,0,Front Matter,packages!\texttt{heplots}
tinyplot,xvi,-16,0,Front Matter,\texttt{tinyplot} package
packages!tinyplot,xvi,-16,0,Front Matter,packages!\texttt{tinyplot}
ggplot2,xvi,-16,0,Front Matter,\texttt{ggplot2} package
packages!ggplot2,xvi,-16,0,Front Matter,packages!\texttt{ggplot2}
80-20 graphics rule,xvi,-16,0,Front Matter,NA
ggplot2,xvii,-17,0,Front Matter,\texttt{ggplot2} package
packages!ggplot2,xvii,-17,0,Front Matter,packages!\texttt{ggplot2}
ggplot2,xvii,-17,0,Front Matter,\texttt{ggplot2} package
packages!ggplot2,xvii,-17,0,Front Matter,packages!\texttt{ggplot2}
car,xvii,-17,0,Front Matter,\texttt{car} package
packages!car,xvii,-17,0,Front Matter,packages!\texttt{car}
matlib,xvii,-17,0,Front Matter,\texttt{matlib} package
packages!matlib,xvii,-17,0,Front Matter,packages!\texttt{matlib}
ggplot2,xvii,-17,0,Front Matter,\texttt{ggplot2} package
packages!ggplot2,xvii,-17,0,Front Matter,packages!\texttt{ggplot2}
Prestige,xvii,-17,0,Front Matter,\texttt{Prestige} data
datasets!Prestige,xvii,-17,0,Front Matter,datasets!\texttt{Prestige}
carData,xvii,-17,0,Front Matter,\texttt{carData} package
packages!carData,xvii,-17,0,Front Matter,packages!\texttt{carData}
Prestige,xvii,-17,0,Front Matter,\texttt{Prestige} data
datasets!Prestige,xvii,-17,0,Front Matter,datasets!\texttt{Prestige}
carData,xvii,-17,0,Front Matter,\texttt{carData} package
packages!carData,xvii,-17,0,Front Matter,packages!\texttt{carData}
car,xvii,-17,0,Front Matter,\texttt{car} package
packages!car,xvii,-17,0,Front Matter,packages!\texttt{car}
ggeda,xviii,-18,0,Front Matter,\texttt{ggeda} package
packages!ggeda,xviii,-18,0,Front Matter,packages!\texttt{ggeda}
tinytable,xviii,-18,0,Front Matter,\texttt{tinytable} package
packages!tinytable,xviii,-18,0,Front Matter,packages!\texttt{tinytable}
marginaleffects,xviii,-18,0,Front Matter,\texttt{marginaleffects} package
packages!marginaleffects,xviii,-18,0,Front Matter,packages!\texttt{marginaleffects}
tourr,xviii,-18,0,Front Matter,\texttt{tourr} package
packages!tourr,xviii,-18,0,Front Matter,packages!\texttt{tourr}
car,xviii,-18,0,Front Matter,\texttt{car} package
packages!car,xviii,-18,0,Front Matter,packages!\texttt{car}
effects,xviii,-18,0,Front Matter,\texttt{effects} package
packages!effects,xviii,-18,0,Front Matter,packages!\texttt{effects}
easystats,xviii,-18,0,Front Matter,\texttt{easystats} package
packages!easystats,xviii,-18,0,Front Matter,packages!\texttt{easystats}
ggeffects,xviii,-18,0,Front Matter,\texttt{ggeffects} package
packages!ggeffects,xviii,-18,0,Front Matter,packages!\texttt{ggeffects}
rgl,xviii,-18,0,Front Matter,\texttt{rgl} package
packages!rgl,xviii,-18,0,Front Matter,packages!\texttt{rgl}
knitr,xviii,-18,0,Front Matter,\texttt{knitr} package
packages!knitr,xviii,-18,0,Front Matter,packages!\texttt{knitr}
xfun,xviii,-18,0,Front Matter,\texttt{xfun} package
packages!xfun,xviii,-18,0,Front Matter,packages!\texttt{xfun}
tinytex,xviii,-18,0,Front Matter,\texttt{tinytex} package
packages!tinytex,xviii,-18,0,Front Matter,packages!\texttt{tinytex}
Flatland,6,6,1,Warm-up Exercises,\emph{Flatland}
Flatland,8,8,1,Warm-up Exercises,\emph{Flatland}
Pollen,9,9,1,Warm-up Exercises,\texttt{Pollen} data
datasets!Pollen,9,9,1,Warm-up Exercises,datasets!\texttt{Pollen}
HistData,9,9,1,Warm-up Exercises,\texttt{HistData} package
packages!HistData,9,9,1,Warm-up Exercises,packages!\texttt{HistData}
animation,9,9,1,Warm-up Exercises,\texttt{animation} package
packages!animation,9,9,1,Warm-up Exercises,packages!\texttt{animation}
rgl,9,9,1,Warm-up Exercises,\texttt{rgl} package
packages!rgl,9,9,1,Warm-up Exercises,packages!\texttt{rgl}
animation,9,9,1,Warm-up Exercises,\texttt{animation} package
packages!animation,9,9,1,Warm-up Exercises,packages!\texttt{animation}
scagnostics,9,9,1,Warm-up Exercises,\texttt{scagnostics} package
packages!scagnostics,9,9,1,Warm-up Exercises,packages!\texttt{scagnostics}
cassowaryr,9,9,1,Warm-up Exercises,\texttt{cassowaryr} package
packages!cassowaryr,9,9,1,Warm-up Exercises,packages!\texttt{cassowaryr}
PRIM-9,10,10,1,Warm-up Exercises,NA
Structural equation model,15,15,2,Introduction,NA
lm(),17,17,2,Introduction,\texttt{lm()}
data ellipse,18,18,2,Introduction,NA
